Ano-Calendário;Natureza de Ocupação;Quantidade de Declarantes;Rendimentos Tributáveis;Rendimentos sujeitos a Tributação Exclusiva;Rendimentos Isentos;Dedução Previdenciária Total;Deduções Previdência Oficial;Deduções Previdenciárias RRA;Deduções Previdência Privada e FAPI;Deduções com Dependentes;Deduções com Instrução;Deduções com despesas Médicas;Dedução de Livro Caixa;Deduções  com Pensão Alimentícia Total;Deduções com Pensão Alimentícia Judicial;Deduções com Pensão Alimentícia Escritural;Deduções com Pensão Alimentícia RRA;Desconto Padrão;Base de Cálculo (RTL);Imposto Devido;Dedução de Incentivo;Imposto Devido 1;Imposto Devido RRA;Imposto Devido Total;Imposto Pago;Imposto a Pagar;Imposto a Restituir;Dívidas   e Ônus;Doações e Heranças Recebidas;Bens e Direitos;Previdência Complementar (VGBL);Valores Pagos com Previdência Complementar (PGBL);Valores Pagos com Previdência Complementar de Natureza Pública;Valores Pagos com FAPI;Despesas com Instrução;Despesas Médicas;Pensão Alimentícia Judicial;Despesas com Pensão Alimentícia Escritural;Despesas com Profissionais Liberais;Despesas com Arrendamento Rural;Outras Despesas;Doações Efetuadas
2020;Empregado de empresa setor privado, exceto instit. financ.;9807756;583600,5445;83205,65073;112714,3995;24376,32744;19199,42089;9,69441501;5167,212131;11528,30908;7431,895583;17995,22689;514,3382973;4058,409612;3565,346914;489,9525539;3,11014446;51078,2522;466617,8972;53741,4441;52,75940236;53688,68469;129,3826097;53817,06436;56686,68536;3717,046442;7271,042506;144594,3179;16953,06722;1540464,875;8493,046948;4942,90245;18,98196826;1545,661487;18620,57291;22814,3287;3756,449719;516,5654429;1590,614897;19,4760151;5079,357939;3184,689507
2020;Empregado de instituições financeiras públicas e privadas;815541;81375,86212;22299,05077;16779,62012;5982,689642;3028,962619;2,40186128;2951,325162;1165,174819;1021,303974;3206,628302;65,71140795;466,6853694;409,7255692;56,52131954;0,43848068;4004,888858;65462,79629;10789,61663;29,92302844;10759,6936;92,52759121;10851,1747;11154,05016;629,9349084;963,2032332;36561,28996;2155,623829;284508,8214;1461,186279;2863,815666;7,7220197;360,1806495;3076,69756;3801,269285;421,2982827;58,41518762;492,6327449;1,67178707;911,4628684;1289,109631
2020;Empregado ou contratado de organismo internacional ou de ONG;40881;2579,238561;285,7639807;988,4856093;102,1113311;82,01603281;0,06939727;20,02590101;37,30841602;24,51182102;99,11658225;8,20281884;10,17270995;8,79341796;1,37104753;0,00824446;218,101576;2079,716867;271,1086807;0,37516796;270,7335128;0,77878826;271,5111323;253,7656691;35,47389975;33,33779005;711,5327198;110,1843588;9603,794795;56,3768361;20,24653006;0,18068126;3,95537456;79,32074363;130,5500154;9,44917488;1,48999805;9,16610796;0,018;45,3603133;49,35202655
2020;Profissional liberal ou autônomo sem vínculo de emprego;2065253;98129,15026;14716,07936;94502,00856;3281,40829;2486,922872;1,70855713;792,7768616;922,5233481;673,4909492;4379,878106;9441,067738;562,3786994;492,6110903;69,45359393;0,31401513;7020,271624;71848,13908;9358,461251;31,99197798;9326,469273;55,70265224;9382,022642;7524,296116;2635,923486;977,5684263;69778,84902;11774,42569;955933,8378;6727,23005;883,7304414;7,15411068;169,941554;2944,754154;5894,080373;586,38791;85,96127492;677,8605756;100,0876292;1637,613103;2692,473548
2020;Proprietário de empr. ou firma indiv. ou empregador-titular;4188146;155000,3768;82426,23739;523281,7173;3481,898306;2895,410917;1,58183968;584,9055496;1463,250806;1044,838049;6844,849676;2977,718565;981,9194003;826,0578518;155,5753143;0,28623417;15508,20169;122697,7038;13648,04549;63,42125587;13584,62423;71,61339633;13656,19169;9380,837628;5122,457019;1239,71741;339834,9283;42804,29196;4344425,494;23852,11123;937,3166141;9,78691687;134,5619412;5704,391691;10003,83054;1213,015386;236,0059605;1614,506491;259,9266564;5591,531456;27978,26131
2020;Capitalista que auferiu rendim. de capital, inclus. aluguéis;156617;10229,30936;6781,3807;16542,7474;52,30488877;32,05939845;0,02056154;20,22492878;28,25517201;19,39371275;755,5583931;18,7108688;31,46504035;26,86340331;4,53763704;0,064;858,041019;8465,580269;1331,725059;1,8759717;1329,849088;3,8359218;1333,681434;899,5448871;379,5417906;106,832266;8066,160259;4831,429396;298051,2031;2766,397099;54,55772328;0,38763607;3,79003081;136,8208269;1069,738091;36,93395831;6,30523701;366,4903789;2,47803197;358,907764;3528,851946
2020;Membro ou servidor público da administração direta federal;385042;67929,56198;6714,205731;11468,12585;6874,354179;6213,914504;1,72355767;658,7161171;651,9463887;546,2396999;4103,452426;176,0992025;760,8908117;696,9665213;63,65256888;0,27172153;1117,353817;53699,23216;11007,55043;13,18640241;10994,36403;39,84954811;11034,20783;11801,64793;324,902617;1093,957538;17284,49511;1280,016056;190131,1054;3339,038799;496,0821324;448,5342403;55,36161206;1933,639764;4503,338396;717,4194421;66,03467001;157,6198746;1,38758888;805,4830434;275,9482709
2020;Servidor público de autarquia ou fundação federal;466295;57096,94505;5415,36317;8966,785232;4907,405803;4440,083487;1,56601677;465,7562986;657,4794335;493,8513226;3620,609396;231,7348843;519,9915021;459,7844868;60,02215166;0,18486362;1994,605995;44671,26587;7854,204591;7,44355076;7846,76104;20,22339171;7866,969356;8444,222215;369,1268934;948,8662196;14453,53827;946,2419598;132391,6029;1145,550124;343,4952796;227,906302;72,87190073;1434,555985;4068,861721;475,3250683;61,64690258;128,4137664;0,60107562;570,0660508;269,40308
2020;Empregado empr. púb. ou econ. mista fed., exc. inst. financ.;318449;41549,47222;4476,023012;6626,448949;3514,220296;1632,850905;0,81654184;1880,55285;602,4240414;445,7183579;2013,847927;49,9949953;415,3599003;363,4026393;51,70469235;0,25256862;1092,861248;33415,04766;6304,230856;12,88473166;6291,346124;17,68816989;6309,020486;6256,524957;432,0323512;381,048862;9068,983246;496,4413576;105962,7108;997,4137865;1537,208557;9,02991779;468,0127431;1370,167631;2237,562556;369,8011404;54,50755383;140,7950774;0,23824272;430,5664303;155,6558721
2020;Membro ou servidor público da admin. direta estadual e do DF;1268388;135137,2032;12371,50873;22541,59962;10804,38425;10217,28535;6,10907802;580,9898175;1722,908439;1439,684927;7590,477463;798,983659;1312,926547;1195,413795;115,6013973;1,91135405;6318,7519;105149,1003;17157,1862;17,38663433;17139,79957;73,31557851;17213,0618;18202,89019;1179,848298;2177,261321;27630,28885;2124,562203;282494,631;2252,141175;565,5559398;83,78917071;58,60919383;3756,46334;8576,575217;1223,054878;119,7980768;206,176229;3,39316882;936,966689;657,6901452
